# Chunk-averaged data for fix profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass v_disp v_vx v_vy v_vz v_s22 v_s11 v_s33 v_vo
100 50 17279.8
  6 0.11 374.2 2.02113 -0.0913683 0.0714573 -1.87456 0.067429 0.360129 8.14476 -3.43924 9.90695
  7 0.13 378.8 2.03014 -0.0944551 0.0678535 -1.93843 -0.0234918 13.67 -18.3596 17.551 10.1442
  8 0.15 355 1.93668 -0.0959526 -0.0135435 -2.0064 -0.00642712 -4.01204 17.7515 14.934 10.1902
  9 0.17 353.4 1.92828 -0.0954622 -0.0272435 -2.01399 -0.0220268 -16.8665 8.41933 12.8197 10.1828
  10 0.19 383.4 2.09375 -0.0951887 -0.00641391 -1.94967 -0.0342714 -0.660511 0.797555 4.08597 10.4337
  11 0.21 357.8 1.95591 -0.0958692 0.0280902 -2.03189 0.0405693 -28.8778 5.9347 3.77603 10.1269
  12 0.23 354.4 1.93766 -0.0965111 0.0374976 -2.06445 -0.064501 -2.57811 3.2131 4.03676 10.1469
  13 0.25 373.2 1.99947 -0.0971304 -0.00586004 -2.04967 0.0370148 9.93479 -24.1073 18.9775 10.3716
  14 0.27 355.8 1.93277 -0.0965138 -0.0461045 -2.03832 -0.0410784 21.303 14.1495 12.9792 10.1003
  15 0.29 349.4 1.88688 -0.0945691 0.00563392 -1.9643 0.0418004 -31.7389 17.4502 -3.05295 10.2268
  16 0.31 385 2.12379 -0.0957602 0.0388502 -1.97361 0.00892702 5.67702 -6.11849 24.3197 10.3184
  17 0.33 367.6 2.01446 -0.0971245 0.0094992 -2.04618 -0.0163134 -26.3625 1.78807 20.0702 10.3381
